ORG NAME,ORG STATUS,MULTIPLE DOMAIN,BASE STATE,MAIN DOMAIN
SeSTA (Seven Sisters Development Assistance),Cold,YES ,DELHI-NCR,ENVIRONMENT 
THINK THROUGH CONSULTING ,Cold,YES ,DELHI-NCR,ENVIRONMENT
GREEN COMMUNITIES FOUNDATION ,Cold,NO ,MUMBAI ,ENVIRONMENT 
INDIAN POLUTION  CONTROL ASSOCIATION (IPCA),Cold,NO ,DELHI-NCR,ENVIRONMENT 
PAANI FOUNDATION ,Cold,NO ,MUMBAI ,ENVIRONMENT 
WORLD RESOURCES INSTITUTE (WRI - INDIA),Cold,NO ,MUMBAI ,ENVIRONMENT 
BOMBAY NATURAL HISTORY SOCIETY ,Cold,NO ,MUMBAI,ENVIRONMENT 
INDIAN GRAMEEN SERVICES ,Cold,YES ,MUMBAI ,ENVIRONMENT 
ALTIUS TELECOM INFRASTRUCTURE,Warm ,YES ,DELHI-NCR,ENVIRONMENT
ECHO INDIA,Cold ,YES,DELHI-NCR,HEALTH 
